Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,5,表,0,1,2,○,-,-,中本伸太朗,福井工業大学,右,亀澤祐貴,北陸大学,右,ストレート,,8,,インプレー,1,1,1,1,1,,-,単打,ゴロ,中堅手,0,0,0,0,O3
2025/10/4,5,表,0,0,2,○,○,-,中本伸太朗,福井工業大学,右,藤田海輝,北陸大学,右,カーブ,,4,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,0,1,2,○,○,-,中本伸太朗,福井工業大学,右,藤田海輝,北陸大学,右,ストレート,,5,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,0,2,2,○,○,-,中本伸太朗,福井工業大学,右,藤田海輝,北陸大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,2,○,○,-,中本伸太朗,福井工業大学,右,藤田海輝,北陸大学,右,スライダー,,14,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,表,1,2,2,○,○,-,中本伸太朗,福井工業大学,右,藤田海輝,北陸大学,右,フォーク,,14,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
2025/10/4,5,裏,0,0,0,-,-,-,與 賢史朗,北陸大学,右,小倉隆貴,福井工業大学,左,ストレート,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,1,0,0,-,-,-,與 賢史朗,北陸大学,右,小倉隆貴,福井工業大学,左,ストレート,,4,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,H2
2025/10/4,5,裏,0,0,1,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,カーブ,,7,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,0,1,1,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,カーブ,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,1,1,1,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,7,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,裏,1,2,1,-,-,-,與 賢史朗,北陸大学,右,伊藤航太,福井工業大学,左,ストレート,,11,外角,インプレー,1,1,1,0,1,,-,アウト,ライナー,遊撃手,1,0,0,0,H3
2025/10/4,5,裏,0,0,2,-,-,-,與 賢史朗,北陸大学,右,濱口凌輔,福井工業大学,左,スライダー,,,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,0,1,2,-,-,-,與 賢史朗,北陸大学,右,濱口凌輔,福井工業大学,左,カーブ,,9,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,裏,0,2,2,-,-,-,與 賢史朗,北陸大学,右,濱口凌輔,福井工業大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,5,裏,1,2,2,-,-,-,與 賢史朗,北陸大学,右,濱口凌輔,福井工業大学,左,ストレート,,2,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,5,裏,1,2,2,-,-,-,與 賢史朗,北陸大学,右,濱口凌輔,福井工業大学,左,ストレート,,2,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,R3
2025/10/4,6,表,0,0,0,-,-,-,中本伸太朗,福井工業大学,右,植松健太,北陸大学,左,スライダー,,7,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,6,表,0,1,0,-,-,-,中本伸太朗,福井工業大学,右,植松健太,北陸大学,左,カーブ,,7,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,C2
2025/10/4,6,表,0,0,1,-,-,-,中本伸太朗,福井工業大学,右,加藤遥人,北陸大学,右,カーブ,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,6,表,1,0,1,-,-,-,中本伸太朗,福井工業大学,右,加藤遥人,北陸大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
